ont,wikiPageWikiLink,link
http://fr.dbpedia.org/resource/Pain,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Sodium
http://fr.dbpedia.org/resource/Pain,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Boulot_(pain)
http://fr.dbpedia.org/resource/Phosphate,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Additif_alimentaire
http://fr.dbpedia.org/resource/Phosphate,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Anion
http://fr.dbpedia.org/resource/Méthode_Pilates,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Catégorie:Invention_allemande
http://fr.dbpedia.org/resource/Méthode_Pilates,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Corps_humain
http://fr.dbpedia.org/resource/Méthode_Pilates,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Équilibrioception
http://fr.dbpedia.org/resource/Piroxicam,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Catégorie:Ototoxine
http://fr.dbpedia.org/resource/Effet_placebo,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Fabrizio_Benedetti
http://fr.dbpedia.org/resource/Effet_placebo,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Traitement_(médecine)
http://fr.dbpedia.org/resource/Petit_bassin,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Toucher_rectal
http://fr.dbpedia.org/resource/Anneau_principal,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Famille_génératrice
http://fr.dbpedia.org/resource/Prospective,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/1971
http://fr.dbpedia.org/resource/Prospective,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Adaptation_au_changement_climatique
http://fr.dbpedia.org/resource/Prospective,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Sébastien_Treyer
http://fr.dbpedia.org/resource/Proton,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/1911_en_science
http://fr.dbpedia.org/resource/Proton,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Chimie
http://fr.dbpedia.org/resource/Proton,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Hydrogène_muonique
http://fr.dbpedia.org/resource/Proton,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Isotope
http://fr.dbpedia.org/resource/Psychologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Acquis
http://fr.dbpedia.org/resource/Psychologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Elton_Mayo
http://fr.dbpedia.org/resource/Psychologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Empirisme
http://fr.dbpedia.org/resource/Psychologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Noël_Taillepied
http://fr.dbpedia.org/resource/Psychologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Psychologie_de_l'adolescent
http://fr.dbpedia.org/resource/Psychologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Psychométrie
